No,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,Manufacture Date
727,Maruti Wagon R CNG LXI,3.85 Lakh,"72,000 kms",Cng,Manual,1st Owner,2015,1298 cc,5 Seats,"December 02, 2015"
728,Maruti Swift Dzire VXi,1.90 Lakh,"91,717 kms",Petrol,Manual,2nd Owner,2009,1197 cc,5 Seats,"February 14, 2009"
729,Maruti Wagon R VXI 1.2,3.31 Lakh,"60,000 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats,"September 03, 2015"
730,Maruti Swift VXI,3.17 Lakh,"61,828 kms",Petrol,Manual,1st Owner,2013,998 cc,5 Seats,"September 24, 2013"
731,Maruti Wagon R LXI BS IV,2.38 Lakh,"98,554 kms",Petrol,Manual,1st Owner,2012,1373 cc,5 Seats,"September 16, 2012"
732,Maruti Ertiga ZXI,4.62 Lakh,"1,12,696 kms",Petrol,Manual,2nd Owner,2013,1968 cc,7 Seats,"August 27, 2013"
733,Audi A3 35 TDI Premium,29.50 Lakh,"11,000 kms",Diesel,Automatic,1st Owner,2017,1086 cc,5 Seats,"December 26, 2017"
734,Hyundai Santro Xing GL,"90,000","80,000 kms",Petrol,Manual,2nd Owner,2008,2993 cc,5 Seats,"February 18, 2008"
735,BMW 7 Series 730Ld,24.18 Lakh,"9,329 kms",Diesel,Automatic,1st Owner,2013,1498 cc,5 Seats,"September 13, 2013"
736,Skoda Rapid 1.5 TDI Style BSIV,6.66 Lakh,"64,419 kms",Diesel,Manual,1st Owner,2017,2987 cc,5 Seats,"July 20, 2017"
737,Mercedes-Benz M-Class ML 350 4Matic,26.74 Lakh,"68,000 kms",Diesel,Automatic,1st Owner,2013,1248 cc,5 Seats,"May 06, 2013"
738,Maruti Swift Dzire VDI,5.63 Lakh,"91,892 kms",Diesel,Manual,1st Owner,2016,1197 cc,5 Seats,"October 23, 2016"
